Total events: 174 Unity-related: 158
--- All Unity events chronological ---
15:02:17.167 | {"ts":1780671737167,"session_id":"diag-unity-15s-silent-1780671737167-ehntzx","event":"diagnostic_header","tag":"unity-15s-silent","breadcrumb_count":173}
15:02:02.163 | unity-overlay:mount markers=0 platform=ios osVersion=18.6.2
15:02:02.163 | unity-overlay:diag:RNUnityView-registered=true keys=Constants,Manager,bubblingEventTypes,Commands,NativeProps,baseModuleName,directE
15:02:02.163 | ar:screen:mount
15:02:02.166 | unity-overlay:view-layout w=375 h=667
15:02:02.171 | unity-overlay:diag:fwExists=true path=F-B45974EDFB61/Cairn.app/Frameworks/UnityFramework.framework
15:02:08.557 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:08.657 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:08.757 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:08.857 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:08.957 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:09.057 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:09.157 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:09.257 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:09.357 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:09.457 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:09.557 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:09.657 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:09.757 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:09.857 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:09.957 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:10.058 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:10.157 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:10.258 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:10.357 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:10.457 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:10.557 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:10.657 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:10.757 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:10.857 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:10.958 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:11.058 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:11.158 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:11.258 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:11.358 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:11.458 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:11.558 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:11.658 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:11.758 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:11.858 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:11.958 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:12.058 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:12.158 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:12.258 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:12.358 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:12.459 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:12.558 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:12.658 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:12.758 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:12.859 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:12.958 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:13.058 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:13.158 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:13.259 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:13.358 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:13.459 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:13.558 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:13.659 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:13.759 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:13.859 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:13.959 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:14.059 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:14.159 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:14.259 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:14.359 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:14.459 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:14.559 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:14.659 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:14.759 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:14.859 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:14.960 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:15.059 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:15.159 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:15.259 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:15.359 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:15.459 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:15.559 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:15.659 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:15.759 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:15.859 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:15.960 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:16.060 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:16.160 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:16.260 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:16.360 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:16.460 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:16.560 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:16.660 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:16.760 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:16.860 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:16.960 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:17.060 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:17.160 | unity-overlay:recv:unknown raw=ArFrame|{"px":0.000,"py":0.000,"pz":0.000,"fx":0.000,"fy":0.000,"fz":F3}
15:02:17.167 | unity-overlay:diag:15s-no-ArReady elapsed=15004ms
